Record_ID,Date,Crop_Name,Variety,Market_Name,District,Quantity_Arrived_kg,Demand_Level,Supply_Level,Weather,Festival_Season,Transportation_Cost,Distance_to_Market_km,Crop_Quality,Storage_Days,Buyer_Type,Farmer_Experience_Years,Market_Competition,Fuel_Price_per_Litre,Profit
R00001,17-10-2026,Onion,Local,Trichy Market,Madurai,1928,Low,High,Sunny,Yes,3656,13,Grade A,2,Wholesaler,15,High,109,84847
R00002,28-01-2025,Chilli,Local,Karur Market,Tiruppur,1905,Medium,High,Cloudy,Yes,1507,183,Grade B,10,Supermarket,10,Low,120,87738
R00003,11-12-2025,Onion,Local,Tiruppur Market,Erode,3040,Medium,High,Cloudy,Yes,3963,142,Grade A,12,Retailer,36,Medium,116,82017
R00004,06-10-2026,Ladies Finger,Hybrid,Dindigul Market,Madurai,669,Low,High,Sunny,No,853,223,Grade A,3,Exporter,18,Medium,110,69649
R00005,09-01-2026,Potato,Hybrid,Chennai Market,Madurai,2287,High,High,Rainy,Yes,1601,141,Grade C,7,Wholesaler,30,Medium,98,90270
R00006,18-10-2026,Radish,Premium,Madurai Market,Chennai,558,Low,Low,Cloudy,No,2393,21,Grade A,10,Wholesaler,32,Medium,118,85635
R00007,21-10-2026,Beans,Local,Trichy Market,Salem,2120,High,High,Rainy,No,4988,114,Grade C,12,Supermarket,15,Low,106,66196
R00008,21-05-2026,Onion,Local,Erode Market,Salem,1410,High,Medium,Rainy,Yes,3352,102,Grade C,14,Supermarket,36,Low,111,98321
R00009,28-04-2025,Pumpkin,Premium,Trichy Market,Chennai,1013,Medium,Medium,Sunny,No,226,249,Grade C,8,Wholesaler,33,Low,117,75268
R00010,03-10-2026,Brinjal,Premium,Karur Market,Dindigul,1729,Low,Medium,Sunny,Yes,2855,130,Grade A,3,Supermarket,20,Low,91,110862
R00011,04-09-2025,Cucumber,Premium,Erode Market,Erode,4081,Low,High,Sunny,Yes,4093,247,Grade C,5,Supermarket,34,High,103,79126
R00012,05-08-2025,Cucumber,Premium,Madurai Market,Trichy,3368,High,High,Cloudy,No,4439,120,Grade A,7,Wholesaler,5,Medium,90,108667
R00013,26-08-2026,Chilli,Local,Dindigul Market,Madurai,158,Low,High,Rainy,Yes,2075,22,Grade A,10,Retailer,33,Low,98,67032
R00014,17-11-2026,Beans,Local,Karur Market,Salem,4777,High,Medium,Sunny,No,3534,53,Grade A,3,Exporter,23,Medium,103,137260
R00015,24-04-2026,Drumstick,Premium,Coimbatore Market,Erode,596,Medium,High,Cloudy,Yes,2236,54,Grade A,14,Wholesaler,28,Low,98,97665
R00016,19-04-2026,Carrot,Local,Namakkal Market,Karur,902,Low,High,Rainy,Yes,964,242,Grade A,5,Exporter,32,Medium,96,71074
R00017,15-02-2026,Cucumber,Local,Salem Market,Tiruppur,117,Medium,Medium,Cloudy,No,3665,183,Grade C,15,Wholesaler,13,Medium,96,33776
R00018,01-03-2025,Ladies Finger,Premium,Karur Market,Coimbatore,2669,Low,Low,Rainy,No,4319,240,Grade C,5,Retailer,33,Low,117,67397
R00019,10-07-2025,Onion,Premium,Erode Market,Madurai,3407,Low,High,Sunny,Yes,871,112,Grade C,10,Supermarket,14,High,112,93578
R00020,18-11-2025,Carrot,Hybrid,Tiruppur Market,Salem,2557,Medium,Medium,Sunny,Yes,3954,164,Grade C,3,Retailer,35,Low,106,86475
R00021,29-09-2025,Potato,Hybrid,Erode Market,Madurai,3127,Medium,Low,Cloudy,No,4533,7,Grade C,9,Retailer,9,Medium,93,77739
R00022,20-04-2025,Radish,Premium,Salem Market,Trichy,2408,High,Low,Rainy,No,1867,180,Grade C,8,Exporter,17,Low,92,99218
R00023,12-10-2026,Cauliflower,Hybrid,Coimbatore Market,Coimbatore,2832,Low,High,Cloudy,Yes,3819,146,Grade C,13,Retailer,8,Low,120,52877
R00024,09-12-2026,Cucumber,Local,Karur Market,Coimbatore,3124,High,High,Sunny,No,1244,15,Grade B,11,Retailer,23,Low,111,99051
R00025,13-09-2025,Pumpkin,Local,Chennai Market,Karur,3429,High,High,Sunny,Yes,1531,209,Grade A,13,Retailer,12,High,119,99785
R00026,07-12-2025,Beetroot,Hybrid,Madurai Market,Trichy,1404,High,Low,Cloudy,Yes,4055,61,Grade A,14,Supermarket,20,Low,97,122561
R00027,25-01-2025,Pumpkin,Local,Tiruppur Market,Chennai,2382,Low,Medium,Cloudy,No,4592,89,Grade A,3,Supermarket,12,High,120,67390
R00028,29-09-2025,Tomato,Local,Dindigul Market,Tiruppur,2931,High,Medium,Cloudy,Yes,3355,235,Grade C,6,Supermarket,3,High,103,81814
R00029,02-01-2025,Chilli,Premium,Madurai Market,Chennai,3633,Low,High,Cloudy,No,1220,189,Grade B,9,Exporter,21,Medium,112,105186
R00030,30-10-2025,Chilli,Local,Madurai Market,Tiruppur,3205,High,High,Sunny,No,3526,145,Grade A,9,Supermarket,14,Medium,115,109770
